Segment,Quantity,Percentage,NomCap_min,NomCap_max,NomCap_avg,Range_min,Range_max,Range_avg,Cons_min,Cons_max,Cons_avg,TopSpd_min,TopSpd_max,TopSpd_avg,LimSpd_urban,LimSpd_rural,LimSpd_highway,AvgSpd_urban,AvgSpd_rural,AvgSpd_highway
Minis,244602,14.07,16,84,28.82,85,450,163.1,130,178,154.3,125,185,134.3,50,100,130,24,80,118
Kleinwagen,238476,13.72,42,86,64,135,600,327.25,103,190,149.93,115,200,158.2,50,100,130,24,80,118
Kompaktklasse,231906,13.34,23,97,67,105,700,395,115,238,167.95,135,260,170.1,50,100,130,24,80,118
Mittelklasse,131526,7.57,47.8,113,81.4,260,700,488,122,238,168,150,261,194.5,50,100,130,24,80,118
Obere Mittelklasse,38071,2.19,70,115.5,94.5,336,700,513.7,123,257,184.5,180,250,203.7,50,100,130,24,80,118
Oberklasse,36462,2.1,60,113,95.1,335,690,510.3,96,245,185.3,160,322,231.5,50,100,130,24,80,118
SUV,681669,39.21,86,118,103,360,540,461,192,322,225,180,262,217,50,100,130,24,80,118
Van,40103,2.31,33,100,61.9,120,370,230,194,295,249.6,120,180,136.1,50,100,130,24,80,118
LKW (under 7.5t),39588,2.28,35.8,170,83.5,116,460,310.6,210,420,296.3,50,80,80,30,80,80,30,80,80
LKW (over 7.5t),52824,3.04,105,800,416.7,200,932,402,700,1420,1218.7,50,60,60,30,60,60,30,60,60
Bus,3332,0.19,150,800,416.7,125,700,360,800,2000,1350,50,60,60,50,60,60,15,30,45
